QueryIteration,LatencyMS
1,5.3634
2,5.5622
3,8.5546
4,5.5621
5,5.3698
6,5.3187
7,6.3429
8,3.635
9,3.545
10,3.2161
11,6.3043
12,2.345
13,6.5159
14,5.6878
15,4.7746
16,5.0672
17,2.4449
18,3.3347
19,5.7288
20,2.8315
21,5.0186
22,3.2315
23,4.1734
24,4.8338
25,3.1732
26,2.6968
27,4.693
28,3.705
29,2.4653
30,2.1088
31,3.4321
32,3.3253
33,2.4773
34,3.3102
35,3.4331
36,3.1282
37,2.7987
38,2.1853
39,6.0546
40,1.9763
41,5.0561
42,4.3016
43,4.1748
44,5.3483
45,5.6034
46,6.0863
47,38.2554
48,5.4782
49,7.1972
50,8.1867
51,6.776
52,8.6599
53,4.3099
54,5.0121
55,6.2539
56,3.3971
57,2.6822
58,3.8237
59,5.3188
60,7.1175
61,8.3484
62,9.7869
63,8.743
64,12.1252
65,7.6756
66,6.3875
67,10.3436
68,10.5459
69,7.4116
70,3.2481
71,3.6441
72,6.5666
73,7.0476
74,3.46
75,5.7751
76,3.9899
77,4.5966
78,10.6108
79,6.5002
80,5.6673
81,5.6673
82,2.952
83,7.194
84,5.0732
85,9.6386
86,5.0401
87,8.7777
88,8.1064
89,5.3155
90,5.0336
91,5.5642
92,4.6751
93,2.3898
94,3.5322
95,7.7132
96,5.0525
97,6.9841
98,6.9137
99,12.3504
100,6.5053
101,7.8545
102,9.3858
103,8.3806
104,10.1847
105,10.6713
106,6.1226
107,6.9126
108,15.1203
109,6.4413
110,5.9395
111,6.1427
112,1.9826
113,4.748
114,2.1943
115,7.2917
116,7.5644
117,2.9395
118,5.8232
119,2.4915
120,5.1752
121,2.993
122,2.6765
123,4.4589
124,4.792
125,2.9304
126,6.2513
127,2.4455
128,6.8655
129,5.7289
130,8.0379
131,4.2029
132,4.7351
133,4.4399
134,4.7453
135,5.6598
136,4.2502
137,5.7304
138,3.1503
139,4.0362
140,6.037
141,3.4779
142,3.8057
143,6.143
144,7.1222
145,2.488
146,3.9853
147,4.9152
148,3.9329
149,6.4885
150,4.117
151,6.2346
152,3.4903
153,4.2092
154,2.6776
155,5.7591
156,2.6934
157,6.6704
158,7.7439
159,3.8458
160,7.6003
161,6.9678
162,4.9162
163,3.4356
164,2.1288
165,5.3629
166,3.3792
167,15.988
168,15.1096
169,11.3287
170,11.345
171,6.7348
172,6.2129
173,6.424
174,2.5954
175,4.1464
176,5.9444
177,1.9722
178,4.2108
179,4.579
180,5.1456
181,4.597
182,9.2923
183,21.2306
184,8.4177
185,4.9447
186,4.8065
187,5.4565
188,3.5449
189,7.9695
190,4.8147
191,4.114
192,5.6387
193,4.4557
194,7.6389
195,5.7563
196,4.3532
197,2.4592
198,2.7059
199,11.3825
200,4.4301
201,5.9401
202,2.0618
203,2.0711
204,6.6782
205,2.2058
206,2.3519
207,6.6456
208,7.1383
209,10.2926
210,4.8354
211,5.4658
212,5.2037
213,3.8801
214,11.1381
215,3.7301
216,4.804
217,6.6493
218,5.4955
219,6.633
220,4.1587
221,4.6552
222,9.0659
223,8.2386
224,2.8251
225,6.1907
226,3.0128
227,1.9918
228,6.0343
229,7.2508
230,7.6188
231,6.9437
232,6.2604
233,5.7229
234,4.8915
235,2.2685
236,5.0046
237,2.4837
238,2.2242
239,9.5975
240,5.8289
241,11.3941
242,4.9916
243,4.2576
244,4.9575
245,3.0882
246,7.6325
247,7.5228
248,4.6259
249,6.602
250,8.5199
251,3.4931
252,3.3106
253,2.5502
254,2.9859
255,6.493
256,6.3014
257,6.2293
258,2.513
259,8.7887
260,3.8932
261,5.9916
262,4.2065
263,8.8435
264,6.6899
265,13.0273
266,4.16
267,4.3411
268,8.1662
269,5.948
270,3.9431
271,6.4954
272,2.5702
273,8.199
274,3.7784
275,2.5227
276,3.0746
277,4.503
278,3.0992
279,7.0753
280,3.1599
281,7.0346
282,3.7834
283,12.3159
284,2.5446
285,7.2117
286,13.2925
287,5.4209
288,14.4981
289,7.7065
290,5.524
291,2.2839
292,5.9925
293,3.1595
294,5.514
295,4.8054
296,6.4983
297,6.9011
298,5.9224
299,4.282
300,3.3263
301,2.428
302,8.2261
303,7.6914
304,2.3951
305,5.9129
306,5.5442
307,5.9303
308,5.2923
309,4.0303
310,6.324
311,2.0576
312,8.0203
313,6.8621
314,6.2407
315,8.0639
316,3.5703
317,10.7586
318,5.4762
319,6.7355
320,3.0308
321,12.2983
322,6.4912
323,3.102
324,8.7789
325,6.3747
326,9.7535
327,10.5653
328,8.1867
329,3.7874
330,3.2898
331,3.8516
332,3.1614
333,4.4898
334,4.3403
335,10.2523
336,6.789
337,2.3814
338,3.9969
339,2.2282
340,5.6123
341,3.0855
342,10.9303
343,3.6217
344,11.0213
345,6.573
346,6.8734
347,4.4009
348,4.2581
349,4.3225
350,3.7625
351,2.0431
352,3.7016
353,5.5353
354,12.2984
355,7.0353
356,12.0161
357,3.5494
358,9.555
359,16.6359
360,12.712
361,12.5198
362,6.0851
363,5.7502
364,3.965
365,4.7753
366,4.3423
367,2.0439
368,2.2245
369,2.3967
370,5.7659
371,2.8737
372,3.7436
373,2.5209
374,6.2625
375,5.1904
376,6.9291
377,2.3052
378,3.7687
379,5.74
380,5.6867
381,1.7148
382,2.0085
383,3.047
384,4.4357
385,3.7563
386,4.4999
387,4.7026
388,3.5652
389,4.9185
390,5.2234
391,2.5702
392,4.9558
393,5.6683
394,3.5434
395,5.7559
396,6.1828
397,5.9022
398,5.7398
399,3.7171
400,5.1647
401,6.6949
402,6.3922
403,2.0984
404,5.2921
405,3.531
406,3.1221
407,3.5408
408,6.4516
409,3.0316
410,4.1349
411,3.0858
412,2.1012
413,2.8932
414,6.1887
415,3.5769
416,3.2482
417,5.0938
418,3.7919
419,3.2501
420,3.338
421,3.0867
422,2.2359
423,4.6686
424,5.4019
425,2.8131
426,2.0921
427,4.6398
428,4.1783
429,3.6835
430,6.1428
431,6.583
432,2.5438
433,2.0436
434,5.2264
435,2.6067
436,6.5874
437,2.3838
438,4.6225
439,7.1674
440,4.6986
441,3.9244
442,2.2212
443,2.1697
444,5.073
445,3.6054
446,6.2746
447,4.0582
448,4.5686
449,5.5854
450,5.625
451,3.6988
452,6.1234
453,2.8069
454,6.3166
455,2.4539
456,3.0015
457,3.3463
458,6.121
459,2.3075
460,2.1833
461,6.1058
462,5.7535
463,5.2968
464,5.9474
465,1.8114
466,4.6283
467,3.9696
468,5.818
469,5.6879
470,3.9522
471,4.2983
472,7.1159
473,4.214
474,3.9781
475,4.2155
476,6.0003
477,2.662
478,5.5328
479,3.3319
480,3.0309
481,5.3816
482,4.74
483,4.244
484,5.9036
485,3.6067
486,4.0727
487,4.3205
488,3.6048
489,3.5723
490,3.3366
491,2.1663
492,6.8129
493,5.9443
494,4.9597
495,7.6219
496,4.2317
497,2.9361
498,2.911
499,10.9584
500,9.6922
501,6.2805
502,4.5385
503,8.2586
504,6.8145
505,7.418
506,6.3161
507,5.9097
508,5.5638
509,4.3291
510,5.7097
511,4.6197
512,7.804
513,6.3811
514,5.6215
515,6.2404
516,6.1314
517,5.043
518,5.6789
