QueryIteration,LatencyMS
1,3.2408
2,1.8921
3,1.7291
4,3.0223
5,3.1175
6,2.2244
7,1.8964
8,1.7087
9,1.7893
10,1.7012
11,1.9348
12,1.7957
13,4.4841
14,4.2685
15,2.7755
16,2.5171
17,1.8151
18,1.9345
19,1.7558
20,1.8417
21,1.8879
22,2.058
23,1.8667
24,4.2803
25,4.0975
26,2.9101
27,2.1969
28,1.8878
29,4.0208
30,2.9147
31,2.0918
32,1.9306
33,1.8259
34,1.798
35,1.7285
36,1.7243
37,1.6961
38,1.8167
39,2.0054
40,6.1919
41,3.2937
42,2.4435
43,1.9948
44,1.8368
45,2.145
46,1.7056
47,1.6999
48,2.1826
49,1.8558
50,1.7021
51,4.8713
52,4.4477
53,3.0307
54,2.5684
55,3.9702
56,4.8475
57,5.6104
58,2.7211
59,3.9906
60,4.3221
61,1.7874
62,1.8641
63,1.7323
64,1.7331
65,1.7333
66,1.7385
67,1.6932
68,4.1142
69,2.861
70,2.2423
71,1.8936
72,1.7914
73,1.7738
74,1.7607
75,1.7577
76,1.757
77,1.7278
78,2.0006
79,2.087
80,3.9826
81,2.6765
82,2.165
83,4.0362
84,3.9094
85,4.8223
86,3.1437
87,2.1069
88,2.8541
89,1.9095
90,1.943
91,2.2218
92,1.8192
93,2.0061
94,2.0833
95,1.9499
96,2.3345
97,2.0163
98,1.8673
99,1.8356
100,1.8246
101,2.278
102,3.2311
103,1.9449
104,1.8624
105,1.9372
106,1.8828
107,1.8604
108,1.677
109,1.8718
110,2.0452
111,4.0028
112,2.7448
113,2.2481
114,1.8881
115,1.8
116,1.9061
117,4.2105
118,2.7183
119,2.2843
120,1.8308
121,4.3871
122,3.9521
123,2.8675
124,2.1548
125,1.7651
126,1.9837
127,4.1736
128,3.364
129,2.2183
130,2.3746
131,2.0083
132,1.781
133,2.2662
134,1.9977
135,6.4385
136,3.1753
137,2.6011
138,2.1148
139,2.4268
140,2.485
141,1.8732
142,2.5775
143,2.2139
144,1.7939
145,2.4627
146,2.476
147,2.8299
148,2.114
149,2.638
150,2.1444
151,2.2832
152,2.5931
153,1.936
154,1.9748
155,2.176
156,1.9518
157,1.9569
158,1.853
159,2.4516
160,2.4144
161,2.1615
162,4.5522
163,4.3075
164,3.1521
165,2.2232
166,1.9154
167,1.807
168,5.0294
169,3.0156
170,2.2934
171,2.0002
172,1.7222
173,1.7451
174,2.3327
175,1.7794
176,5.3826
177,2.9741
178,2.4386
179,6.2343
180,3.5132
181,2.5357
182,2.0933
183,4.1518
184,2.9568
185,2.2668
186,2.0596
187,1.8559
188,4.1109
189,3.0836
190,2.261
191,1.9147
192,1.8112
193,6.0508
194,4.3935
195,3.5849
196,4.8423
197,3.2129
198,2.7781
199,2.6748
200,1.8392
201,1.7155
202,2.0428
203,2.5399
204,2.0318
205,2.1478
206,2.1695
207,5.806
208,3.5272
209,2.6323
210,2.2514
211,2.3277
212,3.8636
213,2.9943
214,1.9114
215,2.3671
216,34.1172
217,3.0474
218,2.4051
219,2.1499
220,2.0869
221,1.82
222,1.8796
223,4.6141
224,4.1333
225,4.135
226,4.1995
227,2.9882
228,2.2457
229,1.894
230,1.7661
231,4.6241
232,4.256
233,4.2879
234,4.1718
235,3.2683
236,2.1558
237,1.9541
238,1.848
239,6.5814
240,4.5428
241,2.9002
242,3.8959
243,2.9171
244,2.0647
245,2.1803
246,4.1311
247,5.1925
248,2.7371
249,2.2706
250,1.7749
251,4.1911
252,3.9601
253,2.8141
254,2.2213
255,1.9628
256,2.1134
257,5.2338
258,3.676
259,3.1501
260,2.1557
261,4.179
262,2.8524
263,2.2288
264,1.8496
265,1.7906
266,3.9752
267,2.8299
268,2.1024
269,2.2055
270,4.2858
271,3.5437
272,2.2074
273,1.8071
274,2.8051
275,2.2553
276,1.7839
277,1.7592
278,1.7975
279,2.226
280,1.6917
281,1.9933
282,2.2176
283,2.0989
284,6.2961
285,3.2078
286,2.6879
287,1.9423
288,5.1435
289,2.6728
290,2.1537
291,1.7422
292,1.7642
293,4.3949
294,2.8284
295,2.1498
296,1.7762
297,1.7704
298,3.9952
299,2.7406
300,2.2401
301,1.8048
302,1.853
303,1.7626
304,2.0561
305,1.859
306,1.7303
307,1.7163
308,2.137
309,6.0343
310,3.5547
311,2.3481
312,2.0532
313,1.704
314,4.1188
315,4.042
316,3.1228
317,2.225
318,1.7831
319,2.2567
320,4.9517
321,3.8592
322,2.6906
323,2.1455
324,1.7222
325,1.8416
326,4.1801
327,3.9842
328,2.7189
329,2.2027
330,2.0107
331,1.7232
332,4.2401
333,1.7445
334,1.7051
335,2.0735
336,1.6753
337,1.6929
338,1.8499
339,1.7567
340,1.7014
341,1.9361
342,5.1372
343,3.0532
344,2.2709
345,5.0769
346,2.5718
347,2.1478
348,4.0767
349,4.446
350,4.0005
351,2.8237
352,2.2425
353,2.1082
354,1.7064
355,4.1644
356,4.9098
357,4.0924
358,3.0506
359,2.3248
360,2.0646
361,1.9384
362,1.8632
363,1.9003
364,2.5174
365,1.982
366,1.6859
367,1.9818
368,1.768
369,1.9925
370,1.891
371,1.8049
372,3.8255
373,3.1498
374,2.2209
375,2.1117
376,5.4705
377,3.4914
378,2.4109
379,2.0953
380,2.1743
381,4.4841
382,3.9771
383,4.1947
384,4.0593
385,3.1312
386,2.1316
387,1.9231
388,1.7477
389,1.8941
390,4.0254
391,2.5525
392,2.0593
393,4.0004
394,2.8979
395,2.1721
396,1.8188
397,1.7145
398,4.1834
399,2.7653
400,2.2335
401,1.9353
402,4.1463
403,3.1071
404,2.2198
405,1.8279
406,1.7907
407,4.7486
408,3.2928
409,2.309
410,3.985
411,3.7914
412,3.1241
413,2.1239
414,1.8869
415,3.9458
416,3.1161
417,2.113
418,1.8536
419,1.7703
420,4.0939
421,2.8222
422,2.2758
423,1.8216
424,1.9316
425,3.9894
426,3.2305
427,2.0702
428,2.0407
429,1.7048
430,4.0411
431,4.1045
432,4.7796
433,3.8269
434,2.8377
435,2.2495
436,1.9197
437,4.1562
438,3.0795
439,2.0344
440,4.2817
441,2.7951
442,2.2046
443,1.83
444,1.6834
445,1.727
446,2.0889
447,4.7769
448,2.9471
449,3.8997
450,4.244
451,3.2205
452,2.185
453,1.8209
454,2.2121
455,4.6131
456,4.1574
457,3.1341
458,2.6326
459,3.8867
460,2.8507
461,2.0962
462,1.8374
463,1.7175
464,1.7197
465,4.3346
466,3.1656
467,2.1674
468,1.7742
469,1.6573
470,2.433
471,2.0572
472,1.7558
473,1.8671
474,4.2053
475,3.0098
476,2.3038
477,1.9722
478,1.8946
479,3.9565
480,2.7478
481,2.0563
482,2.4302
483,4.0149
484,4.236
485,2.6419
486,2.2422
487,1.7974
488,1.7346
489,4.8469
490,2.876
491,2.2277
492,33.7063
493,2.9666
494,3.0921
495,2.0781
496,1.7841
497,4.3441
498,2.7211
499,2.2461
500,1.9507
501,1.7699
502,1.6733
503,2.2012
504,1.686
505,1.8415
506,1.6835
507,1.904
508,1.9711
509,1.7249
510,1.7343
511,2.0411
512,1.7377
513,1.7447
514,2.5452
515,4.4522
516,3.2798
517,2.1464
518,2.0394
519,1.7654
520,1.677
521,1.6834
522,2.0357
523,1.8086
524,4.9416
525,3.854
526,2.8007
527,2.179
528,1.8798
529,1.7657
530,4.0853
531,2.8777
532,2.2517
533,1.9021
534,4.2337
535,2.7298
536,1.8969
537,1.717
538,1.9305
539,1.7193
540,1.7714
